task,positional,seed,train_digits,ood_digits,n_train,cohort,ood,digits,d_model,n_layers,steps,params,lr,abacus_max_k,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.21624,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,5,0.2,0.2,0.4,0.4,0.200,1.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,45,0.97778,0.99259,0.044444,0.28148,1.000|1.000|0.978,1.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,450,1.0,1.0,0.004444,0.24533,1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.224,1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.21133,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0,0.28118,0.001,0.2,0.893|0.123|0.105|0.305|0.177|0.168|0.103|0.126|0.249|0.617|0.225,7.907
carryless_square,rope_dual,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0,0.1905,0.001,0.19642,0.583|0.117|0.146|0.199|0.102|0.212|0.103|0.208|0.106|0.093|0.122|0.261|0.223,10.524
carryless_square,rope,0,1-2-4-5,3-6-7,29549,train_seen,False,-1,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.21027,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope,0,1-2-4-5,3-6-7,29549,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square,rope,0,1-2-4-5,3-6-7,29549,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square,rope,0,1-2-4-5,3-6-7,29549,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.22129,1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope,0,1-2-4-5,3-6-7,29549,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,1.0,1.0,0.001,0.21167,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square,rope,0,1-2-4-5,3-6-7,29549,ood_3d,True,3,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0095,0.4158,0.006,0.2442,0.629|0.231|0.145|0.167|0.907,2.949
carryless_square,rope,0,1-2-4-5,3-6-7,29549,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0,0.37177,0.001,0.20336,0.623|0.035|0.142|0.416|0.164|0.247|0.089|0.098|0.538|0.752|0.985,6.91
carryless_square,rope,0,1-2-4-5,3-6-7,29549,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0,0.23696,0.001,0.19569,0.363|0.106|0.105|0.026|0.105|0.209|0.105|0.209|0.245|0.107|0.388|0.391|0.720,9.919
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,2000,0.011,0.7219,0.001,0.21624,0.493|0.680|0.715|1.000|0.990|0.947|0.544|0.568|0.484,2.407
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,450,0.20889,0.84178,0.004444,0.24533,0.642|1.000|1.000|1.000|0.567,1.0
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,2000,0.008,0.74007,0.001,0.224,0.419|0.769|1.000|1.000|1.000|0.690|0.302,1.834
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,2000,0.007,0.71633,0.001,0.21133,0.515|0.664|0.617|1.000|1.000|1.000|0.589|0.561|0.502,2.571
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,2000,0.0,0.42632,0.001,0.2,0.917|0.707|0.467|0.205|0.689|0.159|0.100|0.111|0.147|0.334|0.855,6.311
carryless_square,rope_significance,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.38764,False,False,cuda:4,2000,0.0,0.31773,0.001,0.19642,0.771|0.531|0.227|0.236|0.211|0.157|0.123|0.215|0.141|0.261|0.256|0.235|0.766,8.87
square,rope_significance,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,2000,0.0025,0.65907,0.0005,0.14399,0.544|0.597|0.607|0.733|0.994|0.919|0.545|0.514|0.522|0.530,3.185
square,rope_significance,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,5,0.8,0.875,0.2,0.375,1.000|0.667,1.0
square,rope_significance,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,45,0.24444,0.76023,0.022222,0.20468,0.733|1.000|0.800|0.444,1.206
square,rope_significance,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,450,0.02667,0.6535,0.002222,0.17073,0.591|0.700|0.987|0.620|0.491|0.489,2.043
square,rope_significance,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,2000,0.0005,0.53378,0.0005,0.15096,0.810|0.614|0.602|0.665|0.223|0.272|0.492|0.612,3.618
square,rope_significance,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,2000,0.0,0.46552,0.0005,0.14501,0.944|0.812|0.525|0.333|0.212|0.116|0.118|0.269|0.569|0.851,5.215
square,rope_significance,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,2000,0.0,0.41273,0.001,0.13803,0.826|0.811|0.649|0.271|0.138|0.110|0.102|0.100|0.138|0.335|0.708|0.873,6.91
square,rope_significance,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.47701,False,False,cuda:4,2000,0.0,0.29236,0.0005,0.13716,0.541|0.554|0.500|0.304|0.139|0.106|0.107|0.108|0.106|0.104|0.153|0.313|0.479|0.676,9.726
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,2000,0.853,0.98224,0.001,0.21624,1.000|1.000|0.998|0.995|0.859|0.995|1.000|1.000|1.000,1.034
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,450,0.99778,0.99956,0.004444,0.24533,1.000|1.000|0.998|1.000|1.000,1.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,2000,0.994,0.99914,0.001,0.224,1.000|1.000|0.999|0.997|1.000|0.999|1.000,1.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,2000,0.7755,0.97428,0.001,0.21133,1.000|1.000|0.999|0.995|0.787|0.989|1.000|1.000|1.000,1.031
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,2000,0.0,0.39473,0.001,0.2,0.431|0.963|0.221|0.373|0.111|0.191|0.232|0.259|0.142|0.611|0.809,6.658
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166734,0.0003,8,token,0.16799,False,False,cuda:4,2000,0.0,0.22358,0.001,0.19642,0.231|0.469|0.142|0.277|0.095|0.193|0.114|0.198|0.100|0.262|0.118|0.472|0.237,10.094
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,2000,0.952,0.99469,0.0005,0.14399,1.000|1.000|1.000|0.995|0.988|0.980|0.991|0.997|0.999|1.000,1.031
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,5,0.4,0.625,0.2,0.375,0.800|0.333,1.0
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,45,0.77778,0.93567,0.022222,0.20468,1.000|1.000|0.800|0.944,1.1
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,450,0.72222,0.94657,0.002222,0.17073,1.000|0.996|0.984|0.780|0.938|0.994,1.104
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,2000,0.301,0.87753,0.0005,0.15096,1.000|1.000|0.997|0.828|0.408|0.830|0.987|0.999,1.359
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,2000,0.0295,0.76332,0.0005,0.14501,1.000|1.000|0.995|0.870|0.304|0.154|0.464|0.911|0.994|1.000,2.38
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,2000,0.0,0.48663,0.001,0.13803,0.490|0.886|0.642|0.534|0.245|0.134|0.113|0.128|0.257|0.590|0.948|0.992,6.04
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166734,0.0003,8,token,0.01847,False,False,cuda:4,2000,0.0,0.26103,0.0005,0.13716,0.191|0.459|0.245|0.233|0.151|0.117|0.107|0.097|0.108|0.115|0.144|0.217|0.741|0.890,10.156
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,1.0,1.0,0.001,0.21624,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,450,1.0,1.0,0.004444,0.24533,1.000|1.000|1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,1.0,1.0,0.001,0.224,1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,1.0,1.0,0.001,0.21133,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,0.0045,0.61005,0.001,0.2,0.965|0.946|0.234|0.665|0.554|0.286|0.353|0.528|0.182|1.000|0.995,4.309
carryless_square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,0.0,0.42496,0.001,0.19642,0.707|0.822|0.234|0.435|0.161|0.256|0.141|0.215|0.111|0.284|0.230|0.993|0.935,7.476
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,2000,1.0,1.0,0.0005,0.14399,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,5,0.6,0.75,0.2,0.375,1.000|0.333,1.0
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,45,0.8,0.94737,0.022222,0.20468,1.000|1.000|0.822|0.972,1.0
square_scratch,rope_significance+scratch,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,5,8000,3956494,0.0003,8,token,0.0001,False,False,cuda:4,450,0.89333,0.98026,0.002222,0.17073,1.000|1.000|1.000|0.922|0.967|0.997,1.062
