variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
full,rope,0,ood_6d,6,True,2,4,4,256,8000,1586701,2000,0.0,0.41622,0.001,0.13803,0.930|0.306|0.342|0.202|0.146|0.124|0.108|0.114|0.349|0.690|0.856|0.953,6.869
full,rope,0,ood_6d,6,True,2,4,8,256,8000,1586701,2000,0.0,0.38409,0.001,0.13803,0.903|0.326|0.336|0.188|0.133|0.118|0.108|0.118|0.271|0.570|0.759|0.899,7.247
full,rope,0,ood_6d,6,True,2,4,16,256,8000,1586701,2000,0.0,0.32986,0.001,0.13803,0.875|0.306|0.281|0.154|0.104|0.110|0.102|0.113|0.223|0.414|0.580|0.809,7.885
full,rope,0,ood_6d,6,True,2,4,32,256,8000,1586701,2000,0.0,0.27122,0.001,0.13803,0.786|0.250|0.215|0.131|0.110|0.104|0.102|0.104|0.170|0.295|0.410|0.670,8.575
full,rope,0,ood_7d,7,True,2,4,2,256,8000,1586701,2000,0.0,0.21035,0.0005,0.13716,0.678|0.160|0.141|0.112|0.101|0.109|0.090|0.093|0.104|0.104|0.114|0.199|0.387|0.671,10.852
full,rope,0,ood_7d,7,True,2,4,4,256,8000,1586701,2000,0.0,0.22887,0.0005,0.13716,0.553|0.188|0.151|0.113|0.108|0.117|0.108|0.095|0.106|0.110|0.170|0.314|0.488|0.704,10.598
full,rope,0,ood_7d,7,True,2,4,8,256,8000,1586701,2000,0.0,0.21039,0.0005,0.13716,0.488|0.188|0.150|0.110|0.112|0.108|0.110|0.102|0.102|0.112|0.157|0.261|0.426|0.628,10.852
full,rope,0,ood_7d,7,True,2,4,16,256,8000,1586701,2000,0.0,0.18652,0.0005,0.13716,0.451|0.173|0.145|0.106|0.096|0.107|0.110|0.105|0.103|0.115|0.133|0.203|0.331|0.521,11.18
full,rope,0,ood_7d,7,True,2,4,32,256,8000,1586701,2000,0.0,0.16262,0.0005,0.13716,0.394|0.164|0.134|0.108|0.101|0.090|0.108|0.102|0.101|0.100|0.121|0.151|0.252|0.416,11.508
full,rope,0,ood_8d,8,True,2,4,2,256,8000,1586701,2000,0.0,0.15219,0.0005,0.13407,0.234|0.163|0.130|0.100|0.099|0.104|0.104|0.108|0.095|0.100|0.102|0.105|0.106|0.139|0.290|0.556,13.355
